iso2,country,authority,roles,website,access_state,http_status,final_url,title,candidate_link_count,candidate_urls,error
AF,Afghanistan,Bank of Afghanistan,central_banking,https://www.dab.gov.af/,reachable,200,https://www.dab.gov.af/,Da Afghanistan Bank | Da Afghanistan Bank,1,https://www.dab.gov.af/sites/default/files/2025-10/Vol-218%20Finel.pdf,
AL,Albania,Albanian Financial Intelligence Agency (FIA),financial_intelligence,http://www.fiu.gov.al/en/,reachable,200,https://fiu.gov.al/en/home/,Financial Intelligence Agency – AIF,6,https://fiu.gov.al/en/legislation/decisions-of-the-council-of-ministers/;https://fiu.gov.al/en/notice-on-the-updates-made-to-the-list-of-designated-persons-on-14-august-2026/;https://fiu.gov.al/wp-content/uploads/2026/08/UN-Consolidatedlist-14.08.2026.pdf;https://fiu.gov.al/wp-content/uploads/2026/05/20260508-FULL.pdf;http://www.un.org/securitycouncil/sanctions/2653/press-releases;https://fiu.gov.al/en/notice/,
AL,Albania,Albanian Financial Supervisory Authority,securities;insurance;pensions,http://www.amf.gov.al/,challenge-protected,403,http://www.amf.gov.al/,AMF :: Autoriteti i Mbikëqyrjes Financiare,1,https://amf.gov.al/,
AL,Albania,Bank of Albania,central_banking;prudential_supervision,https://www.bankofalbania.org/home/,reachable,200,https://www.bankofalbania.org/home/,Home,20,https://www.bankofalbania.org/Monetary_Policy/Latest_monetary_policy_decision_and_calendar/;https://www.bankofalbania.org/Press/Press_Releases/Governor_Sejko_Statement_to_the_Press_Conference_on_Monetary_Policy_Decision_1_July_2026.html;https://www.bankofalbania.org/Press/Press_Releases/Governor_Sejko_Statement_on_the_Monetary_Policy_Decision_of_the_Supervisory_Council_of_the_Bank_of_Albania.html;https://www.youtube.com/watch?v=l2v9QeTGGoA;https://www.youtube.com/watch?v=JKmadXzLg90;https://www.youtube.com/watch?v=rUM4R1BJcAc;https://youtu.be/XDxIQbx3Zok?si=hPohkkI_1fkOymGt;https://www.youtube.com/watch?v=TVUBXQmhzJ0;https://youtu.be/WrQdqzajOUE?si=9M2n5cqftsyFkimt;https://youtu.be/Lah39b3AARw?si=ioUqGTSOEOCZBL-b;https://youtu.be/tq4uSt8Ae2o?si=n9oJZe9jdmu3Ss0d;https://youtu.be/kTIerTt8DZI?si=uJq-ZilmXAy-SJwR;https://youtu.be/jytYfn8tgOM;https://youtu.be/d03dS4BAaX0;https://www.youtube.com/watch?v=TpJDXcnVDi4;https://www.youtube.com/watch?v=O2GUskvMLKE;https://www.youtube.com/watch?v=X7EuejdKgSs;https://www.youtube.com/watch?v=aDLoLTS80tE&t=1s;https://www.youtube.com/watch?v=RAq2nohp--0;https://www.youtube.com/watch?v=7-zfn27izgs,
DZ,Algeria,Bank of Algeria,central_banking;prudential_supervision,http://www.bank-of-algeria.dz/,network-error,,http://www.bank-of-algeria.dz/,,0,,fetch failed
DZ,Algeria,Commission d'Organisation et de Surveillance des Opérations de Bourse,securities,http://www.cosob.org/,reachable,200,https://cosob.dz/,COSOB,2,https://cosob.dz/decisions-et-visas/;https://cosob.dz/emetteurs/notice-dinformation/,
DZ,Algeria,Financial Intelligence Processing nit (CTRF),financial_intelligence,http://www.mf-ctrf.gov.dz/ngindex.html,network-error,,http://www.mf-ctrf.gov.dz/ngindex.html,,0,,fetch failed
AS,American Samoa,Office of the Insurance Commissioner,insurance,https://www.americansamoa.gov/insurance,challenge-protected,200,https://www.americansamoa.gov/insurance,Insurance Commissioner,1,https://www.americansamoa.gov/notices,
AD,Andorra,Autoritat Financera Andorrana,securities;insurance,http://www.afa.ad/,timeout,,http://www.afa.ad/,,0,,The operation was aborted due to timeout
AD,Andorra,Financial Intelligence Unit-Andorra (FIUAND),financial_intelligence,http://www.uifand.ad/,reachable,200,https://www.uifand.ad/ca/,UIFAND | Unitat d'Intel·ligència Financera d'Andorra,0,,
AO,Angola,Agência Angolana de Regulação e Supervisão de Seguros (ARSEG),insurance;pensions,https://www.arseg.ao/,reachable,200,https://www.arseg.ao/,ARSEG - Início,12,https://www.arseg.ao/;https://www.arseg.ao/publicacoes/actividade-sancionatoria/2023/;https://www.arseg.ao/publicacoes/actividade-sancionatoria/2024/;https://www.arseg.ao/publicacoes/actividade-sancionatoria/2025/;https://www.arseg.ao/publicacoes/actividade-sancionatoria/2026/;https://www.arseg.ao/noticias/relat%C3%B3rio-da-actividade-sancionat%C3%B3ria-i-%C2%BA-semestre-de-2026/;https://www.arseg.ao/noticias/relat%C3%B3rio-da-actividade-sancionat%C3%B3ria-ii%C2%BA-semestre-2025/;https://www.arseg.ao/noticias/decisao-do-processo-de-transgressao-a-entidade-alianca-seguros-s-a/;https://www.arseg.ao/noticias/comunicado-da-decisao-em-processo-de-transgressao-da-sol-seguros-s-a/;https://www.arseg.ao/noticias/relat%C3%B3rio-da-actividade-sancionat%C3%B3ria-i%C2%BA-semestre-2025/;https://www.arseg.ao/noticias/comunicado-da-decisao-em-processo-de-transgressao-da-bic-seguros-s-a-1/;https://www.arseg.ao/noticias/relatorio-de-processos-sancionatorios-de-2024/,
AO,Angola,Comissão do Mercado de Capitais,securities,http://www.cmc.ao/,challenge-protected,200,https://www.cmc.ao/pt-pt,Inicio | Portal CMC,2,https://www.cmc.ao/pt-pt/relatorio_de_actividades_sancionatorias;https://www.cmc.ao/pt-pt/AML/CFT,
AO,Angola,National Bank of Angola,central_banking;prudential_supervision,http://www.bna.ao/,timeout,,http://www.bna.ao/,,0,,The operation was aborted due to timeout
AO,Angola,Unidade de Informação Financeira (UIF-Angola),financial_intelligence,http://www.uif.ao/,reachable,200,http://www.uif.ao/,UIF - Unidade de Informação Financeira,3,http://www.uif.ao/conteudo.aspx?id=38&menu=Alvo_de_Sancoes_financeiras;http://www.uif.ao/conteudo.aspx?id=45&menu=Sancoes_Emitidas_pela_UIF;http://www.uif.ao/listas-de-sancoes.aspx,
