"iso2","iso3","country","authority","mandate","evidenceLevel","website","accessState","publicationUrl","publicationCandidatesWithProvenance","authorityOwnedQualifiedRegulatoryUpdates","authorityOwnedQualifiedEnforcementCandidates","externalOfficialContextCandidates","publicationKind","directorySources","directoryEvidenceUrls","researchEffectiveAt","retrievedAt","researchPublicationSnapshotCheckedAt","activitySignal","activitySignalStatus","scanType","scanStartMonth","scanEndMonth","scanAsOf","datePrecision","archiveBoundary","observedMonthCount","observedMonths","latestObservedMonth","latestObservedPrecision","publicationRelevance","publicationRouteType","sourceHostScope","transparencyIndex"
"DZ","DZA","Algeria","Bank of Algeria","Central bank; Prudential supervision","identity-confirmed","http://www.bank-of-algeria.dz/","network-error","","","","","","unknown","BIS","https://www.bis.org/cbanks.htm; https://www.bis.org/regauth.htm","2026-08-20T12:09:41.497Z","2026-08-20T12:10:41.904Z","2026-08-20T12:10:41.904Z","unknown","provisional-first-page-scan","automated-first-page-date-scan","2024-01","2026-08","2026-08-20","month","first-page-only-unvalidated","0","","","","","","",""
"DZ","DZA","Algeria","Commission d'Organisation et de Surveillance des Opérations de Bourse","Securities","identity-confirmed","http://www.cosob.org/","reachable","https://cosob.dz/decisions-et-visas/","Décisions et visas|https://cosob.dz/decisions-et-visas/|unqualified-candidate|manual-review-required; Notice d’information|https://cosob.dz/emetteurs/notice-dinformation/|unqualified-candidate|unqualified","","","","enforcement","IOSCO","https://www.iosco.org/v2/about/?subsection=membership&memid=1&page=1; https://www.iosco.org/v2/about/?subsection=membership&memid=1&page=8; https://www.iosco.org/v2/about/?subsection=membership&memid=1&page=9; https://www.iosco.org/v2/about/?subsection=membership&memid=1&page=10; https://www.iosco.org/v2/about/?subsection=membership&memid=1&page=11; https://www.iosco.org/v2/about/?subsection=membership&memid=1&page=12","2026-08-20T12:09:41.497Z","2026-08-20T12:10:41.904Z","2026-08-20T12:11:07.553Z","unknown","provisional-first-page-scan","automated-first-page-date-scan","2024-01","2026-08","2026-08-20","month","first-page-only-unvalidated","0","","","","generic-or-ambiguous-link","decision_register","external-unqualified",""
"DZ","DZA","Algeria","Financial Intelligence Processing nit (CTRF)","Financial intelligence","identity-confirmed","http://www.mf-ctrf.gov.dz/ngindex.html","network-error","","","","","","unknown","EGMONT","https://egmontgroup.org/members-by-region/","2026-08-20T12:09:41.497Z","2026-08-20T12:10:41.904Z","2026-08-20T12:10:41.904Z","unknown","provisional-first-page-scan","automated-first-page-date-scan","2024-01","2026-08","2026-08-20","month","first-page-only-unvalidated","0","","","","","","",""
"AO","AGO","Angola","Agência Angolana de Regulação e Supervisão de Seguros (ARSEG)","Insurance; Pensions","identity-confirmed","https://www.arseg.ao/","reachable","https://www.arseg.ao/","Actividade Sancionatória|https://www.arseg.ao/|authority-owned-qualified-route|approved-for-human-contract; 2023|https://www.arseg.ao/publicacoes/actividade-sancionatoria/2023/|unqualified-candidate|unqualified; 2024|https://www.arseg.ao/publicacoes/actividade-sancionatoria/2024/|unqualified-candidate|unqualified; 2025|https://www.arseg.ao/publicacoes/actividade-sancionatoria/2025/|unqualified-candidate|unqualified; 2026|https://www.arseg.ao/publicacoes/actividade-sancionatoria/2026/|unqualified-candidate|unqualified; RELATÓRIO DA ACTIVIDADE SANCIONATÓRIA - I.º SEMESTRE DE 2026|https://www.arseg.ao/noticias/relat%C3%B3rio-da-actividade-sancionat%C3%B3ria-i-%C2%BA-semestre-de-2026/|unqualified-candidate|unqualified; RELATÓRIO DA ACTIVIDADE SANCIONATÓRIA IIº SEMESTRE 2025|https://www.arseg.ao/noticias/relat%C3%B3rio-da-actividade-sancionat%C3%B3ria-ii%C2%BA-semestre-2025/|unqualified-candidate|unqualified; DECISÃO DO PROCESSO DE TRANSGRESSÃO A ENTIDADE: ALIANÇA SEGUROS, S.A.|https://www.arseg.ao/noticias/decisao-do-processo-de-transgressao-a-entidade-alianca-seguros-s-a/|unqualified-candidate|unqualified; COMUNICADO DA DECISÃO EM PROCESSO DE TRANSGRESSÃO DA SOL SEGUROS, S.A.|https://www.arseg.ao/noticias/comunicado-da-decisao-em-processo-de-transgressao-da-sol-seguros-s-a/|unqualified-candidate|unqualified; RELATÓRIO DA ACTIVIDADE SANCIONATÓRIA Iº SEMESTRE 2025|https://www.arseg.ao/noticias/relat%C3%B3rio-da-actividade-sancionat%C3%B3ria-i%C2%BA-semestre-2025/|unqualified-candidate|unqualified; COMUNICADO DA DECISÃO EM PROCESSO DE TRANSGRESSÃO DA BIC SEGUROS, S.A.|https://www.arseg.ao/noticias/comunicado-da-decisao-em-processo-de-transgressao-da-bic-seguros-s-a-1/|unqualified-candidate|unqualified; RELATÓRIO DE PROCESSOS SANCIONATÓRIOS DE 2024|https://www.arseg.ao/noticias/relatorio-de-processos-sancionatorios-de-2024/|unqualified-candidate|unqualified","","Actividade Sancionatória|https://www.arseg.ao/","","enforcement","IAIS; IOPS","https://www.iais.org/about-the-iais/iais-members/; https://www.iopsweb.org/en/membership/iops-members-and-observers.html","2026-08-20T12:09:41.497Z","2026-08-20T12:10:41.904Z","2026-08-20T12:11:07.553Z","unknown","provisional-first-page-scan","automated-first-page-date-scan","2024-01","2026-08","2026-08-20","month","first-page-only-unvalidated","0","","","","strong-official-publication-candidate","sanctions_or_penalty_list","authority-owned",""
"AO","AGO","Angola","Comissão do Mercado de Capitais","Securities","identity-confirmed","http://www.cmc.ao/","challenge-protected","https://www.cmc.ao/pt-pt/AML/CFT","Relatório de Actividades Sancionatórias|https://www.cmc.ao/pt-pt/relatorio_de_actividades_sancionatorias|unqualified-candidate|unqualified; Lista de Sanções da ONU|https://www.cmc.ao/pt-pt/AML/CFT|unqualified-candidate|browser-review-required","","","","unknown","IOSCO","https://www.iosco.org/v2/about/?subsection=membership&memid=1&page=1; https://www.iosco.org/v2/about/?subsection=membership&memid=1&page=8; https://www.iosco.org/v2/about/?subsection=membership&memid=1&page=9; https://www.iosco.org/v2/about/?subsection=membership&memid=1&page=10; https://www.iosco.org/v2/about/?subsection=membership&memid=1&page=11; https://www.iosco.org/v2/about/?subsection=membership&memid=1&page=12","2026-08-20T12:09:41.497Z","2026-08-20T12:10:41.904Z","2026-08-20T12:11:07.553Z","unknown","provisional-first-page-scan","automated-first-page-date-scan","2024-01","2026-08","2026-08-20","month","first-page-only-unvalidated","0","","","","not-observable","not-observable","not-observable",""
"AO","AGO","Angola","National Bank of Angola","Central bank; Prudential supervision","identity-confirmed","http://www.bna.ao/","timeout","","","","","","unknown","BIS","https://www.bis.org/cbanks.htm; https://www.bis.org/regauth.htm","2026-08-20T12:09:41.497Z","2026-08-20T12:10:41.904Z","2026-08-20T12:10:41.904Z","unknown","provisional-first-page-scan","automated-first-page-date-scan","2024-01","2026-08","2026-08-20","month","first-page-only-unvalidated","0","","","","","","",""
"AO","AGO","Angola","Unidade de Informação Financeira (UIF-Angola)","Financial intelligence","enforcement-visible","http://www.uif.ao/","reachable","http://www.uif.ao/listas-de-sancoes.aspx","Alvo de Sanções financeiras|http://www.uif.ao/conteudo.aspx?id=38&menu=Alvo_de_Sancoes_financeiras|unqualified-candidate|unqualified; Sanções Emitidas pela UIF|http://www.uif.ao/conteudo.aspx?id=45&menu=Sancoes_Emitidas_pela_UIF|unqualified-candidate|unqualified; Listas de Sanções|http://www.uif.ao/listas-de-sancoes.aspx|authority-owned-qualified-route|approved-for-human-contract","","Listas de Sanções|http://www.uif.ao/listas-de-sancoes.aspx","","enforcement","EGMONT","https://egmontgroup.org/members-by-region/","2026-08-20T12:09:41.497Z","2026-08-20T12:10:41.904Z","2026-08-20T12:11:07.553Z","low-frequency","provisional-first-page-scan","automated-first-page-date-scan","2024-01","2026-08","2026-08-20","month","first-page-only-unvalidated","2","2026-02; 2026-03","2026-03","month","strong-official-publication-candidate","enforcement_archive","authority-owned",""
"BJ","BEN","Benin","Autorité des Marchés Financiers de l’UMOA","Securities","identity-confirmed","http://www.crepmf.org/","timeout","","","","","","unknown","IOSCO","https://www.iosco.org/v2/about/?subsection=membership&memid=1&page=7","2026-08-20T12:09:41.497Z","2026-08-20T12:10:41.904Z","2026-08-20T12:10:41.904Z","unknown","provisional-first-page-scan","automated-first-page-date-scan","2024-01","2026-08","2026-08-20","month","first-page-only-unvalidated","0","","","","","","",""
"BJ","BEN","Benin","Cellule Nationale de Traitement des Informations Financieres du Benin (CENTIF)","Financial intelligence","identity-confirmed","http://www.fiub.org/","reachable","","","","","","unknown","EGMONT","https://egmontgroup.org/members-by-region/","2026-08-20T12:09:41.497Z","2026-08-20T12:10:41.904Z","2026-08-20T12:10:41.904Z","unknown","provisional-first-page-scan","automated-first-page-date-scan","2024-01","2026-08","2026-08-20","month","first-page-only-unvalidated","0","","","","","","",""
"BJ","BEN","Benin","Central Bank of West African States (BCEAO)","Central bank; Prudential supervision","identity-confirmed","https://www.bceao.int/en","reachable","https://www.bceao.int/en","Legal Notice|https://www.bceao.int/en|unqualified-candidate|manual-review-required","","","","regulatory-update","BIS","https://www.bis.org/cbanks.htm; https://www.bis.org/regauth.htm","2026-08-20T12:09:41.497Z","2026-08-20T12:10:41.904Z","2026-08-20T12:11:07.553Z","unknown","provisional-first-page-scan","automated-first-page-date-scan","2024-01","2026-08","2026-08-20","month","first-page-only-unvalidated","0","","","","generic-or-ambiguous-link","news_or_notice","authority-owned",""
"BJ","BEN","Benin","Conférence Interafricaine des Marchés d'Assurances (CIMA)","Insurance","identity-confirmed","http://cima-afrique.org/","reachable","https://cima-afrique.org/decisions-du-cma/","Décisions du Conseil des Ministres des Assurances|https://cima-afrique.org/decisions-du-cma/|unqualified-candidate|manual-review-required; Décisions de la Commission Régionale de Contrôle des Assurances|https://cima-afrique.org/decisions-de-la-crca/|unqualified-candidate|unqualified","","","","enforcement","IAIS","https://www.iais.org/about-the-iais/iais-members/","2026-08-20T12:09:41.497Z","2026-08-20T12:10:41.904Z","2026-08-20T12:11:07.553Z","unknown","provisional-first-page-scan","automated-first-page-date-scan","2024-01","2026-08","2026-08-20","month","first-page-only-unvalidated","0","","","","generic-or-ambiguous-link","decision_register","authority-owned",""
"BW","BWA","Botswana","Bank of Botswana","Central bank; Prudential supervision","identity-confirmed","http://www.bankofbotswana.bw/","reachable","http://www.bankofbotswana.bw/sites/default/files/press-release-files/Public%20Notice%20-%20Lower%20Denomination%20Coin%20Cirulation.pdf","Public Notice - Lower Denomination Coin Circulation|http://www.bankofbotswana.bw/sites/default/files/press-release-files/Public%20Notice%20-%20Lower%20Denomination%20Coin%20Cirulation.pdf|unqualified-candidate|manual-review-required","","","","unknown","BIS","https://www.bis.org/cbanks.htm; https://www.bis.org/regauth.htm","2026-08-20T12:09:41.497Z","2026-08-20T12:10:41.904Z","2026-08-20T12:11:07.553Z","unknown","provisional-first-page-scan","automated-first-page-date-scan","2024-01","2026-08","2026-08-20","month","first-page-only-unvalidated","0","","","","generic-or-ambiguous-link","detail_document","authority-owned",""
