regulatorCode,stableRegulatorId,authorityId,authority,authorityWebsite,iso2,roles,mappingStatus,mappingBasis
FCA,ra-reg-fca,ra-auth-gb-9eea37a5bdddca65,The Financial Conduct Authority,http://www.fca.org.uk/,GB,prudential_supervision;securities;insurance,official-directory-match,Explicit live-code authority alias matched official directory.
BaFin,ra-reg-bafin,ra-auth-de-ba7351f59cf176d7,Federal Financial Supervisory Authority,http://www.bafin.de/,DE,prudential_supervision;securities;insurance;pensions,official-directory-match,Explicit live-code authority alias matched official directory.
AMF,ra-reg-amf,ra-auth-fr-27fcd26120dee0c9,Autorité des marchés financiers*,http://www.amf-france.org/,FR,securities,official-directory-match,Explicit live-code authority alias matched official directory.
CNMV,ra-reg-cnmv,ra-auth-es-db7b4ceffc1383fb,Comisión Nacional del Mercado de Valores*,http://www.cnmv.es/,ES,securities,official-directory-match,Explicit live-code authority alias matched official directory.
CBI,ra-reg-cbi,ra-auth-ie-c0b5db67449c98df,Central Bank of Ireland,http://www.centralbank.ie/,IE,prudential_supervision;securities;insurance,official-directory-match,Explicit live-code authority alias matched official directory.
SFC,ra-reg-sfc,ra-auth-hk-7242883237a6e80c,Securities and Futures Commission*,https://www.sfc.hk/web/EN/index.html,HK,securities,official-directory-match,Explicit live-code authority alias matched official directory.
AFM,ra-reg-afm,ra-auth-nl-3dea2d27ee965e72,The Dutch Authority for the Financial Markets*,http://www.afm.nl/,NL,securities;insurance,official-directory-match,Explicit live-code authority alias matched official directory.
DNB,ra-reg-dnb,ra-auth-nl-6a14d64a431056ac,De Nederlandsche Bank,https://www.dnb.nl/en,NL,prudential_supervision;insurance;pensions,official-directory-match,Explicit live-code authority alias matched official directory.
ECB,ra-reg-ecb,,,,EU,,eu-level-excluded,EU-level authority is intentionally excluded from country aggregation.
DFSA,ra-reg-dfsa,ra-auth-ae-cc9e71ec2ffbc2f5,Dubai Financial Services Authority,http://www.dfsa.ae/,AE,prudential_supervision;securities;insurance,official-directory-match,Explicit live-code authority alias matched official directory.
FSRA,ra-reg-fsra,ra-auth-ae-a2eaf322568b7d54,Financial Services Regulatory Authority,http://www.adgm.com/,AE,securities;insurance,official-directory-match,Explicit live-code authority alias matched official directory.
CBUAE,ra-reg-cbuae,ra-auth-ae-da705b04944a16ff,Central Bank of the United Arab Emirates,https://www.centralbank.ae/en,AE,prudential_supervision,official-directory-match,Explicit live-code authority alias matched official directory.
JFSC,ra-reg-jfsc,ra-auth-je-5a2e6c5b726f4bd9,Jersey Financial Services Commission,http://www.jerseyfsc.org/,JE,prudential_supervision;securities;insurance,official-directory-match,Explicit live-code authority alias matched official directory.
GFSC,ra-reg-gfsc,ra-auth-gg-1e035352eed2575c,Guernsey Financial Services Commission,http://www.gfsc.gg/,GG,prudential_supervision;securities;insurance;pensions,official-directory-match,Explicit live-code authority alias matched official directory.
CIRO,ra-reg-ciro,,,,CA,,registry-only,No sufficiently specific official-directory name match; excluded from country role aggregation pending manual authority mapping.
SEC,ra-reg-sec,ra-auth-us-321899cf1be8b63f,Securities and Exchange Commission*,http://www.sec.gov/,US,securities,official-directory-match,Explicit live-code authority alias matched official directory.
SEBI,ra-reg-sebi,ra-auth-in-1a442264a9b3e9f5,Securities and Exchange Board of India*,http://www.sebi.gov.in/,IN,securities,official-directory-match,Explicit live-code authority alias matched official directory.
TWFSC,ra-reg-twfsc,ra-auth-tw-19b695d9525b0615,Financial Supervisory Commission,http://www.fsc.gov.tw/,TW,securities;insurance,official-directory-match,Explicit live-code authority alias matched official directory.
CVM,ra-reg-cvm,ra-auth-br-a59437c9ce1f582b,Comissão de Valores Mobiliários*,http://www.cvm.gov.br/,BR,securities,official-directory-match,Explicit live-code authority alias matched official directory.
HKMA,ra-reg-hkma,ra-auth-hk-a01a8df1dfe9cf6d,Hong Kong Monetary Authority,https://www.hkma.gov.hk/eng,HK,prudential_supervision,official-directory-match,Explicit live-code authority alias matched official directory.
ASIC,ra-reg-asic,ra-auth-au-5c0fc27b9fcb29ac,Australian Securities and Investments Commission*,http://www.asic.gov.au/,AU,securities;insurance,official-directory-match,Explicit live-code authority alias matched official directory.
AUSTRAC,ra-reg-austrac,ra-auth-au-a991c73127987db8,The Australian Transaction Reports and Analysis Centre (AUSTRAC),http://www.austrac.gov.au/,AU,financial_intelligence,official-directory-match,Explicit live-code authority alias matched official directory.
MAS,ra-reg-mas,ra-auth-sg-ed322819dc95a306,Monetary Authority of Singapore,http://www.mas.gov.sg/,SG,prudential_supervision;securities;insurance,official-directory-match,Explicit live-code authority alias matched official directory.
OCC,ra-reg-occ,ra-auth-us-536892012d88d798,Office of the Comptroller of the Currency,http://www.occ.treas.gov/,US,prudential_supervision,official-directory-match,Explicit live-code authority alias matched official directory.
FINCEN,ra-reg-fincen,ra-auth-us-62a5bd0929843be2,Financial Crimes Enforcement Network (FinCEN),https://www.fincen.gov/,US,financial_intelligence,official-directory-match,Explicit live-code authority alias matched official directory.
FINMA,ra-reg-finma,ra-auth-ch-fef82880ed479788,Swiss Financial Market Supervisory Authority (FINMA),http://www.finma.ch/,CH,prudential_supervision;securities;insurance,official-directory-match,Explicit live-code authority alias matched official directory.
SESC,ra-reg-sesc,,,,JP,,registry-only,No sufficiently specific official-directory name match; excluded from country role aggregation pending manual authority mapping.
FMANZ,ra-reg-fmanz,ra-auth-nz-26cfbdac8baf745d,Financial Markets Authority,https://www.fma.govt.nz/,NZ,securities,official-directory-match,Explicit live-code authority alias matched official directory.
FDIC,ra-reg-fdic,ra-auth-us-1d4a8d980adde2a5,Federal Deposit Insurance Corporation DC,http://www.fdic.gov/,US,prudential_supervision,official-directory-match,Explicit live-code authority alias matched official directory.
FRB,ra-reg-frb,ra-auth-us-4a694cd3deb787a6,Board of Governors of the Federal Reserve System,http://www.federalreserve.gov/,US,prudential_supervision;insurance,official-directory-match,Explicit live-code authority alias matched official directory.
SPK,ra-reg-spk,,,,TR,,registry-only,No sufficiently specific official-directory name match; excluded from country role aggregation pending manual authority mapping.
GHSEC,ra-reg-ghsec,ra-auth-gh-1276eb0564999d02,Securities and Exchange Commission,http://www.sec.gov.gh/,GH,securities,official-directory-match,Explicit live-code authority alias matched official directory.
IOMFSA,ra-reg-iomfsa,ra-auth-im-fd7b7763058345b6,Isle of Man Financial Services Authority,http://www.iomfsa.im/,IM,securities,official-directory-match,Explicit live-code authority alias matched official directory.
AMMC,ra-reg-ammc,ra-auth-ma-b5cfe30602d176ea,Autorité Marocaine du Marché des Capitaux*,http://www.ammc.ma/,MA,securities,official-directory-match,Explicit live-code authority alias matched official directory.
CNV,ra-reg-cnv,ra-auth-ar-12eb11a773eaa5ef,Comisión Nacional de Valores*,http://www.cnv.gob.ar/,AR,securities,official-directory-match,Explicit live-code authority alias matched official directory.
FSS,ra-reg-fss,ra-auth-kr-49ea1165285ae629,Financial Supervisory Service,http://english.fss.or.kr/,KR,prudential_supervision;insurance,official-directory-match,Explicit live-code authority alias matched official directory.
OSC,ra-reg-osc,ra-auth-ca-27956873427bb2b2,Ontario Securities Commission*,http://www.osc.ca/,CA,securities,official-directory-match,Explicit live-code authority alias matched official directory.
